index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
4612;Portland Trail Blazers - Washington Wizards;bet365;+140;-161;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4613;Portland Trail Blazers - Washington Wizards;bwin;+129;-154;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4614;Portland Trail Blazers - Washington Wizards;Marathonbet;+144;-156;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4615;Portland Trail Blazers - Washington Wizards;Pinnacle;+144;-159;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4616;Portland Trail Blazers - Washington Wizards;Unibet;+135;-164;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4617;Portland Trail Blazers - Washington Wizards;William Hill;+140;-161;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
4640;Utah Jazz - Brooklyn Nets;bet-at-home;-185;+144;Sunday, 25 Jan 2015, 01:00;Final result 108:73 (25:21, 33:16, 23:22, 27:14);1;Utah Jazz;Brooklyn Nets;25 Jan 2015;108;73 ;2014-2015
4641;Utah Jazz - Brooklyn Nets;bet365;-175;+154;Sunday, 25 Jan 2015, 01:00;Final result 108:73 (25:21, 33:16, 23:22, 27:14);1;Utah Jazz;Brooklyn Nets;25 Jan 2015;108;73 ;2014-2015
4642;Utah Jazz - Brooklyn Nets;bwin;-182;+150;Sunday, 25 Jan 2015, 01:00;Final result 108:73 (25:21, 33:16, 23:22, 27:14);1;Utah Jazz;Brooklyn Nets;25 Jan 2015;108;73 ;2014-2015
4643;Utah Jazz - Brooklyn Nets;Marathonbet;-154;+142;Sunday, 25 Jan 2015, 01:00;Final result 108:73 (25:21, 33:16, 23:22, 27:14);1;Utah Jazz;Brooklyn Nets;25 Jan 2015;108;73 ;2014-2015
