gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201912130PHI,1632.5538269445703,1378.7784097729268,1634.1681569427067,1377.1640797747905
201912130SAC,1468.2151072193863,1273.4786210422221,1458.5412531474278,1283.1524751141806
201912130UTA,1552.4478907759149,1415.617489581599,1555.78191138555,1412.2834689719639
201912140CHI,1371.223190034377,1649.0137306877614,1381.7988389715213,1638.4380817506171
201912140DAL,1586.5012460765097,1584.5252943763692,1578.3592690437717,1592.6672714091071
201912140DEN,1599.019884468929,1553.0368283311368,1604.2997883960254,1547.7569244040403
201912140HOU,1659.6322227112046,1465.0768296528877,1641.4606300674118,1483.2484222966805
201912140MEM,1397.2975569850908,1413.9655928394186,1408.6490727317948,1402.6140770927145
201912140MIL,1745.8656893608747,1314.7355567639331,1746.8436602956654,1313.7575858291425
201912140PHO,1413.0884507819887,1451.8502222607144,1407.5843235424063,1457.3543495002968
201912140TOR,1636.6236236431562,1493.2801294776825,1639.8440873752354,1490.0596657456033
201912150ATL,1354.1853795536156,1653.6732772197033,1351.4513461011259,1656.407310672193
201912150BRK,1490.0596657456033,1634.1681569427067,1510.912429094188,1613.315393594122
201912150DEN,1604.2997883960254,1283.1524751141806,1605.3005803487501,1282.1516831614558
201912150GSW,1412.2834689719639,1458.5412531474278,1393.4326983308179,1477.3920237885739
201912150IND,1573.4015853156036,1430.2537182662688,1579.6189965229119,1424.0363070589606
201912150NOP,1377.1640797747905,1498.8667326958255,1367.7556717156708,1508.2751407549451
201912160DET,1483.2484222966805,1402.6140770927145,1462.9331413788832,1422.9293580105118
201912160HOU,1641.4606300674118,1457.3543495002968,1642.8343202520477,1455.980659315661
201912160MEM,1408.6490727317948,1592.6672714091071,1420.8542776614538,1580.4620664794481
201912160MIL,1746.8436602956654,1578.3592690437717,1734.7935321922448,1590.4093971471923
201912160OKC,1547.7569244040403,1381.7988389715213,1549.5124406124407,1380.0433227631208
201912160PHO,1407.5843235424063,1511.618525391827,1403.8962881513125,1515.3065607829208
201912160TOR,1639.8440873752354,1313.7575858291425,1641.9028784944326,1311.6987947099453
201912170CHO,1424.0363070589606,1477.3920237885739,1432.254765032275,1469.1735658152595
201912170IND,1579.6189965229119,1656.407310672193,1585.178170553878,1650.8481366412268
201912170LAC,1638.4380817506171,1403.8962881513125,1642.0689146272503,1400.2654552746794
201912170NOP,1367.7556717156708,1510.912429094188,1361.1401980304934,1517.5279027793654
201912170NYK,1282.1516831614558,1351.4513461011259,1299.5945973327916,1334.00843192979
201912170UTA,1555.78191138555,1508.2751407549451,1560.6385648607877,1503.4184872797075
201912180CLE,1311.6987947099453,1432.254765032275,1317.362430608316,1426.5911291339044
201912180DAL,1590.4093971471923,1634.3096871408898,1581.7431798377038,1642.9759044503783
201912180DEN,1605.3005803487501,1503.4184872797075,1609.5897620921758,1499.129305536282
201912180DET,1462.9331413788832,1641.9028784944326,1454.610014501204,1650.2260053721118
201912180MIN,1435.8637006276124,1361.1401980304934,1421.7227116871452,1375.2811869709606
201912180OKC,1549.5124406124407,1420.8542776614538,1551.9373161629517,1418.4294021109429
201912180PHI,1613.315393594122,1580.4620664794481,1604.4510767005509,1589.3263833730193
201912180POR,1515.3065607829208,1393.4326983308179,1519.4296908949118,1389.3095682188268
201912180WAS,1422.9293580105118,1380.0433227631208,1417.1134182133194,1385.8592625603133
201912190ATL,1334.00843192979,1560.6385648607877,1330.1311032506171,1564.5158935399606
201912190LAC,1642.0689146272503,1642.8343202520477,1633.0799588988423,1651.8232759804557
201912190MIL,1734.7935321922448,1650.8481366412268,1738.853843283599,1646.7878255498727
201912190SAS,1455.980659315661,1517.5279027793654,1467.4474638285396,1506.0610982664866
201912200BOS,1642.9759044503783,1454.610014501204,1647.6820321074701,1449.903886844112
201912200CLE,1317.362430608316,1418.4294021109429,1326.5433400103423,1409.2484927089165
201912200DEN,1609.5897620921758,1421.7227116871452,1612.3001906508941,1419.0122831284268
201912200GSW,1389.3095682188268,1375.2811869709606,1393.581782569859,1371.0089726199285
201912200IND,1585.178170553878,1469.1735658152595,1590.4471318206322,1463.9046045485054
201912200MIA,1589.3263833730193,1299.5945973327916,1591.4230632081662,1297.4979174976447
201912200OKC,1551.9373161629517,1400.2654552746794,1557.103957371208,1395.098814066423
201912200PHI,1604.4510767005509,1581.7431798377038,1582.8894003082542,1603.3048562300005
201912200POR,1519.4296908949118,1499.129305536282,1528.265677857394,1490.2933185737998
201912200TOR,1650.2260053721118,1417.1134182133194,1651.5920057895328,1415.7474177958984
201912210BRK,1506.0610982664866,1330.1311032506171,1509.1470660222049,1327.045135494899
201912210CHO,1426.5911291339044,1564.5158935399606,1419.8381615816756,1571.2688610921894
201912210DET,1449.903886844112,1385.8592625603133,1432.2435783036128,1403.5195711008125
201912210MEM,1409.2484927089165,1463.9046045485054,1415.0037700737068,1458.149327183715
201912210NYK,1297.4979174976447,1738.853843283599,1294.4185691318892,1741.9331916493545
201912210PHI,1582.8894003082542,1415.7474177958984,1587.4593355973516,1411.177482506801
201912210PHO,1395.098814066423,1651.8232759804557,1388.9398891702554,1657.9822008766234
201912210POR,1528.265677857394,1419.0122831284268,1531.8347904868413,1415.4431704989795
201912210SAS,1467.4474638285396,1633.0799588988423,1453.6791510338207,1646.8482716935612
201912220BOS,1647.6820321074701,1419.8381615816756,1652.0703482297865,1415.4498454593593
201912220LAL,1646.7878255498727,1612.3001906508941,1620.5737275358379,1638.514288664929
201912220MIL,1741.9331916493545,1590.4471318206322,1748.9956502210002,1583.3846732489865
201912220OKC,1557.103957371208,1646.8482716935612,1565.1889618746147,1638.7632671901545
201912220TOR,1651.5920057895328,1603.3048562300005,1654.8073662342256,1600.0894957853077
201912230CLE,1326.5433400103423,1327.045135494899,1330.576920481048,1323.011555024193
201912230DET,1432.2435783036128,1587.4593355973516,1421.7087509857868,1597.9941629151776
201912230GSW,1393.581782569859,1415.4431704989795,1401.2975841191133,1407.7273689497251
201912230IND,1583.3846732489865,1654.8073662342256,1590.235982872513,1647.956056610699
201912230MEM,1415.0037700737068,1453.6791510338207,1390.0898617036348,1478.5930594038928
201912230MIA,1591.4230632081662,1571.2688610921894,1595.0946313723764,1567.5972929279792
201912230NYK,1294.4185691318892,1411.177482506801,1287.687296873165,1417.9087547655251
201912230ORL,1490.2933185737998,1403.5195711008125,1494.6134073356936,1399.1994823389186
201912230PHO,1388.9398891702554,1638.514288664929,1386.546419291518,1640.9077585436662
201912230POR,1531.8347904868413,1371.0089726199285,1514.7921676872777,1388.051595419492
201912230SAC,1458.149327183715,1657.9822008766234,1452.1043138668183,1664.0272141935202
201912250DEN,1640.9077585436662,1388.051595419492,1615.11705692358,1413.8422970395782
201912250GSW,1401.2975841191133,1664.0272141935202,1422.466929491242,1642.8578688213915
201912250LAL,1620.5737275358379,1638.7632671901545,1612.033501282599,1647.303493443393
201912250PHI,1597.9941629151776,1748.9956502210002,1613.158171532533,1733.8316416036448
201912250TOR,1647.956056610699,1652.0703482297865,1630.1716953330927,1669.854709507393
201912260BRK,1509.1470660222049,1287.687296873165,1484.705113624005,1312.1292492713649
201912260DAL,1600.0894957853077,1478.5930594038928,1602.6072188426836,1476.075336346517
201912260DET,1421.7087509857868,1417.9087547655251,1437.1819892429603,1402.4355165083516
201912260OKC,1565.1889618746147,1390.0898617036348,1541.5442280406405,1413.734595537609
201912260SAC,1452.1043138668183,1407.7273689497251,1446.2659532332611,1413.5657295832823
201912260UTA,1567.5972929279792,1514.7921676872777,1571.9488221527604,1510.4406384624965
201912270ATL,1323.011555024193,1733.8316416036448,1318.7622286656733,1738.0809679621646
201912270BOS,1669.854709507393,1330.576920481048,1671.2068715035898,1329.2247584848512
201912270CHO,1415.4498454593593,1541.5442280406405,1411.3897634575603,1545.6043100424395
201912270GSW,1422.466929491242,1386.546419291518,1428.4052024385023,1380.6081463442576
201912270MIA,1595.0946313723764,1590.235982872513,1597.9413356417622,1587.3892786031272
201912270ORL,1494.6134073356936,1613.158171532533,1499.316916128538,1608.4546627396887
201912280BOS,1671.2068715035898,1630.1716953330927,1651.0746442805535,1650.303922556129
201912280CHI,1399.1994823389186,1318.7622286656733,1411.2228084697076,1306.7389025348843
201912280DEN,1615.11705692358,1413.734595537609,1617.6313964009287,1411.2202560602605
201912280GSW,1428.4052024385023,1602.6072188426836,1417.0530898607483,1613.9593314204376
201912280HOU,1642.8578688213915,1484.705113624005,1646.2573864842136,1481.305595961183
201912280LAC,1647.303493443393,1571.9488221527604,1628.1910184944416,1591.061297101712
201912280MIA,1597.9413356417622,1608.4546627396887,1600.9902676910033,1605.4057306904476
201912280MIL,1738.0809679621646,1499.316916128538,1740.3838904558932,1497.0139936348094
201912280MIN,1413.5657295832823,1329.2247584848512,1401.2449613805195,1341.545526687614
201912280NOP,1413.8422970395782,1587.3892786031272,1438.416571959008,1562.8150036836973
201912280POR,1510.4406384624965,1612.033501282599,1502.0822728289702,1620.3918669161253
201912280SAC,1446.2659532332611,1380.6081463442576,1438.9035770375667,1387.970522539952
201912280SAS,1476.075336346517,1437.1819892429603,1488.2623058711883,1424.9950197182889
201912280WAS,1402.4355165083516,1312.1292492713649,1388.8443289748882,1325.7204368048283
201912290DEN,1617.6313964009287,1438.9035770375667,1619.6922222337794,1436.842751204716
201912290LAL,1620.3918669161253,1613.9593314204376,1628.9602363320628,1605.3909620045001
201912290MEM,1411.2202560602605,1411.3897634575603,1420.0473731344744,1402.5626463833464
201912290NOP,1438.416571959008,1646.2573864842136,1459.4224456027453,1625.2515128404764
201912290TOR,1650.303922556129,1545.6043100424395,1643.5575526368054,1552.350679961763
201912300CHI,1411.2228084697076,1740.3838904558932,1405.5627825057961,1746.0439164198046
201912300MIN,1401.2449613805195,1481.305595961183,1409.7181403486716,1472.8324169930308
201912300ORL,1497.0139936348094,1306.7389025348843,1478.9855237314466,1324.767372438247
201912300POR,1502.0822728289702,1387.970522539952,1488.905040249489,1401.1477551194332
201912300UTA,1591.061297101712,1424.9950197182889,1596.7316090473,1419.3247077727008
201912300WAS,1388.8443289748882,1600.9902676910033,1412.9116871913093,1576.9229094745822
201912310CHO,1402.5626463833464,1651.0746442805535,1395.2706089387623,1658.3666817251376
201912310HOU,1625.2515128404764,1619.6922222337794,1639.0947337791965,1605.8490012950592
201912310IND,1562.8150036836973,1605.4057306904476,1576.0007899184618,1592.2199444556832
201912310OKC,1552.350679961763,1605.3909620045001,1558.7125768655735,1599.0290651006896
201912310SAC,1436.842751204716,1628.1910184944416,1427.0291398163502,1638.0046298828074
201912310SAS,1488.2623058711883,1417.0530898607483,1491.5148196676162,1413.8005760643205
201912310TOR,1643.5575526368054,1341.545526687614,1645.931100865981,1339.1719784584384
202001010LAL,1628.9602363320628,1401.1477551194332,1631.2702341083996,1398.8377573430964
202001010MIL,1746.0439164198046,1409.7181403486716,1746.6153551898708,1409.1467015786054
202001010NYK,1325.7204368048283,1488.905040249489,1350.9914269156766,1463.6340501386408
202001010WAS,1412.9116871913093,1478.9855237314466,1395.2481379263713,1496.6490729963846
202001020CHI,1405.5627825057961,1596.7316090473,1401.4845890690506,1600.8098024840456
202001020CLE,1339.1719784584384,1395.2706089387623,1333.1489819587257,1401.293605438475
202001020DAL,1599.0290651006896,1472.8324169930308,1603.5487219930787,1468.3127601006418
202001020IND,1576.0007899184618,1605.8490012950592,1565.3666878869537,1616.4831033265673
202001020LAC,1638.0046298828074,1419.3247077727008,1641.0194812925163,1416.309856362992
202001020MIA,1576.9229094745822,1645.931100865981,1585.6777998799625,1637.1762104606007
202001020MIN,1409.1467015786054,1413.8005760643205,1419.0422921355355,1403.9049855073904
202001020SAC,1427.0291398163502,1420.0473731344744,1431.9381437089405,1415.138369241884
202001020SAS,1491.5148196676162,1558.7125768655735,1483.4858122454373,1566.7415842877524
202001030BOS,1658.3666817251376,1324.767372438247,1659.0386715731386,1324.0953825902461
202001030HOU,1639.0947337791965,1592.2199444556832,1645.1038326748605,1586.2108455600192
202001030LAL,1631.2702341083996,1459.4224456027453,1634.4259220155036,1456.2667576956412
202001030ORL,1496.6490729963846,1585.6777998799625,1513.7287226668716,1568.5981502094755
202001030PHO,1398.8377573430964,1350.9914269156766,1404.0706629023498,1345.7585213564232
202001030WAS,1395.2481379263713,1463.6340501386408,1378.9000667569962,1479.9821213080158
202001040ATL,1324.0953825902461,1565.3666878869537,1336.1785740477615,1553.2834964294384
202001040BRK,1468.3127601006418,1637.1762104606007,1457.1108628760517,1648.3781076851908
202001040CHI,1401.4845890690506,1659.0386715731386,1397.4719488753758,1663.0513117668133
202001040CLE,1333.1489819587257,1566.7415842877524,1325.9641311813784,1573.9264350650997
202001040DAL,1603.5487219930787,1401.293605438475,1592.2009955208039,1412.6413319107498
202001040GSW,1403.9049855073904,1416.309856362992,1393.5181071926127,1426.6967346777697
202001040LAC,1641.0194812925163,1415.138369241884,1599.280963242915,1456.8768872914852
202001040MIL,1746.6153551898708,1483.4858122454373,1748.3850350004639,1481.7161324348442
202001040ORL,1513.7287226668716,1600.8098024840456,1501.8482018696213,1612.6903232812958
202001040SAC,1431.9381437089405,1456.2667576956412,1426.1822572528424,1462.0226441517393
202001040WAS,1378.9000667569962,1616.4831033265673,1400.7590646720412,1594.6241054115224
202001050CLE,1325.9641311813784,1419.0422921355355,1313.1841097388738,1431.8223135780402
202001050LAC,1599.280963242915,1345.7585213564232,1600.355313212935,1344.6841713864032
202001050LAL,1634.4259220155036,1426.6967346777697,1636.5232189110695,1424.5994377822037
